epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4229,0.17869,1.77727,0.93714,0.09394,0.98985,0.13305,0.12407,0.41374,1.98851,0.48828,0.0033271,0.0033271,0.0700561
2,166.958,0.13957,1.59942,0.91215,0.12498,1,0.13295,0.12746,0.20436,1.64359,0.37554,0.0065945,0.0065945,0.0399901
3,247.67,0.1207,1.57638,0.90346,0.10644,0.88942,0.12293,0.08856,0.72202,1.98711,1.09984,0.00979589,0.00979589,0.0098582
4,327.928,0.11,1.56912,0.903,0.12472,1,0.13099,0.12968,0.20854,1.62163,0.39987,0.009703,0.009703,0.009703
5,408.256,0.0942,1.55885,0.89536,0.09577,0.99982,0.1293,0.12501,0.2035,1.74724,0.29823,0.009604,0.009604,0.009604
6,488.17,0.0846,1.55214,0.89363,0.12445,1,0.13003,0.12963,0.08461,1.54092,0.22397,0.009505,0.009505,0.009505
7,568.408,0.07891,1.55001,0.89201,0.12483,1,0.13144,0.13094,0.18443,1.57101,0.34405,0.009406,0.009406,0.009406
8,649.557,0.07902,1.55177,0.89299,0.12371,0.9998,0.13166,0.12925,0.14453,1.55879,0.28741,0.009307,0.009307,0.009307
9,729.543,0.07046,1.54561,0.89078,0.125,1,0.13109,0.13101,0.11646,1.5324,0.27309,0.009208,0.009208,0.009208
10,809.205,0.06864,1.54569,0.89077,0.12487,1,0.13412,0.10712,0.23227,1.73669,0.43741,0.009109,0.009109,0.009109
11,889.456,0.06827,1.54489,0.89074,0.12499,1,0.13904,0.13843,0.22174,1.576,0.38533,0.00901,0.00901,0.00901
12,969.576,0.06436,1.543,0.88861,0.12498,1,0.13353,0.13337,0.10587,1.53948,0.27167,0.008911,0.008911,0.008911
13,1050.78,0.06382,1.53968,0.88926,0.125,1,0.1329,0.13207,0.21724,1.57521,0.4042,0.008812,0.008812,0.008812
14,1131.08,0.06378,1.54134,0.89218,0.12455,1,0.13555,0.1354,0.13787,1.56624,0.28918,0.008713,0.008713,0.008713
15,1211.81,0.06135,1.54144,0.88818,0.12497,1,0.13062,0.13062,0.12967,1.56448,0.26722,0.008614,0.008614,0.008614
16,1292.54,0.05913,1.53908,0.88996,0.12494,1,0.15608,0.15599,0.16184,1.55787,0.32098,0.008515,0.008515,0.008515
17,1372.54,0.05913,1.53591,0.8891,0.12536,0.99867,0.16249,0.16245,0.07626,1.52403,0.22053,0.008416,0.008416,0.008416
18,1453.01,0.05632,1.53428,0.88683,0.14126,0.97503,0.17246,0.17246,0.08971,1.52584,0.23127,0.008317,0.008317,0.008317
19,1533.71,0.05728,1.52827,0.89007,0.15413,0.92099,0.18284,0.18284,0.12926,1.52186,0.27033,0.008218,0.008218,0.008218
20,1614.42,0.0557,1.52254,0.88801,0.15987,0.89595,0.18768,0.18747,0.14864,1.55368,0.31113,0.008119,0.008119,0.008119
21,1693.5,0.05584,1.51919,0.88776,0.15474,0.88378,0.21478,0.21478,0.1264,1.49228,0.2758,0.00802,0.00802,0.00802
22,1773.31,0.05471,1.50591,0.88819,0.1824,0.8613,0.24648,0.24644,0.1474,1.42405,0.30476,0.007921,0.007921,0.007921
23,1853.94,0.05319,1.48848,0.8884,0.20498,0.74756,0.26975,0.26974,0.12499,1.42973,0.277,0.007822,0.007822,0.007822
24,1934.52,0.05222,1.47324,0.8874,0.21373,0.77513,0.2882,0.2882,0.07576,1.36443,0.21751,0.007723,0.007723,0.007723
25,2015.14,0.05286,1.45949,0.88944,0.2365,0.68321,0.30793,0.30791,0.0839,1.33405,0.22586,0.007624,0.007624,0.007624
26,2094.44,0.05453,1.45137,0.88906,0.25225,0.75179,0.32814,0.32813,0.12491,1.31693,0.28622,0.007525,0.007525,0.007525
27,2175.59,0.0519,1.43624,0.88896,0.2615,0.75348,0.34947,0.34947,0.0884,1.28119,0.2248,0.007426,0.007426,0.007426
28,2256.12,0.05075,1.42285,0.88753,0.28149,0.70643,0.37707,0.3763,0.15398,1.26856,0.30585,0.007327,0.007327,0.007327
29,2336.68,0.04949,1.4071,0.88713,0.30699,0.6898,0.40373,0.40048,0.154,1.24188,0.3094,0.007228,0.007228,0.007228
30,2417.33,0.04929,1.39518,0.88761,0.30965,0.729,0.41644,0.41497,0.12466,1.22489,0.27434,0.007129,0.007129,0.007129
31,2498.45,0.04887,1.38372,0.88836,0.33942,0.70784,0.44188,0.44165,0.13351,1.16824,0.28233,0.00703,0.00703,0.00703
32,2578.79,0.04793,1.37229,0.88678,0.35507,0.71579,0.45992,0.45986,0.10101,1.15444,0.24614,0.006931,0.006931,0.006931
33,2659.52,inf,1.35892,0.88718,0.3564,0.70461,0.46404,0.46207,0.14733,1.15951,0.29919,0.006832,0.006832,0.006832
34,2739.93,0.0471,1.35031,0.88587,0.37132,0.71974,0.4922,0.4922,0.10168,1.1045,0.25613,0.006733,0.006733,0.006733
35,2819.89,0.04782,1.33998,0.88609,0.38559,0.72998,0.51015,0.50871,0.12267,1.10727,0.27417,0.006634,0.006634,0.006634
36,2899.53,0.04706,1.32966,0.88717,0.38101,0.73776,0.51462,0.51139,0.13912,1.11356,0.28399,0.006535,0.006535,0.006535
37,2978.99,0.04709,1.32517,0.88707,0.39161,0.74356,0.52432,0.52249,0.13488,1.08738,0.27805,0.006436,0.006436,0.006436
38,3059.41,0.04595,1.31078,0.88615,0.41354,0.73456,0.5384,0.53821,0.12891,1.0564,0.26674,0.006337,0.006337,0.006337
39,3139.42,0.04507,1.30028,0.88677,0.42235,0.73026,0.54796,0.54609,0.13797,1.05709,0.28439,0.006238,0.006238,0.006238
40,3219.17,0.04473,1.29514,0.88633,0.45029,0.70633,0.56262,0.56262,0.10856,1.00541,0.24406,0.006139,0.006139,0.006139
41,3299.96,0.04416,1.28785,0.8872,0.45295,0.72412,0.5739,0.57382,0.09105,1.0038,0.22452,0.00604,0.00604,0.00604
42,3379.9,0.04438,1.27719,0.88623,0.46964,0.71015,0.58355,0.58344,0.11255,0.98803,0.24783,0.005941,0.005941,0.005941
43,3460.92,0.04323,1.27338,0.88619,0.48759,0.70121,0.59165,0.59016,0.14875,0.99285,0.29042,0.005842,0.005842,0.005842
44,3541.06,0.04355,1.26491,0.88622,0.49693,0.7046,0.60068,0.60053,0.12189,0.96559,0.25795,0.005743,0.005743,0.005743
45,3621.74,0.04396,1.25879,0.88571,0.50692,0.70005,0.60952,0.60949,0.11334,0.94869,0.24834,0.005644,0.005644,0.005644
46,3701.82,0.04335,1.25347,0.88555,0.51426,0.70129,0.61656,0.61653,0.11242,0.9406,0.24729,0.005545,0.005545,0.005545
47,3781.93,0.04256,1.24198,0.88599,0.52215,0.69072,0.62268,0.62265,0.11065,0.939,0.24552,0.005446,0.005446,0.005446
48,3861.9,0.04218,1.23656,0.88764,0.51989,0.71292,0.629,0.62875,0.1005,0.94046,0.23709,0.005347,0.005347,0.005347
49,3942.63,0.0414,1.23873,0.88558,0.52457,0.71852,0.64042,0.64021,0.09415,0.93334,0.23345,0.005248,0.005248,0.005248
50,4022.53,0.04114,1.23056,0.88394,0.52313,0.72295,0.6439,0.64311,0.10942,0.94225,0.24963,0.005149,0.005149,0.005149
51,4102.16,inf,1.22579,0.88559,0.53343,0.70659,0.64722,0.64637,0.11974,0.92729,0.25906,0.00505,0.00505,0.00505
52,4181.82,0.04088,1.21738,0.88331,0.54051,0.70818,0.65246,0.6518,0.12143,0.91727,0.26075,0.004951,0.004951,0.004951
53,4261.72,0.0406,1.21868,0.88596,0.54834,0.70506,0.65955,0.65909,0.12292,0.90825,0.26251,0.004852,0.004852,0.004852
